County,Density,Population
Anderson,54,57734
Andrews,12,17760
Angelina,109.47,87791
Aransas,102.07,25721
Archer,9.56,8703
Armstrong,2.05,1876
Atascosa,40,48797
Austin,45.57,29758
Bailey,8.68,7181
Bandera,27.49,21776
Bastrop,93.17,82733
Baylor,4.24,3697
Bee,37.22,32750
Bell,321,340411
Bexar,1547,1928680
Blanco,16.02,11392
Borden,0.7,633
Bosque,18.3,18097
Bowie,105.7,93860
Brazoria,255,354195
Brazos,376.14,220417
Brewster,1,9200
Briscoe,1.64,1474
Brooks,7.65,7214
Brown,40.54,38271
Burleson,26.67,17760
Burnet,46.48,46243
Caldwell,75.39,41161
Calhoun,42.9,21965
Callahan,15.37,13820
Cameron,465.93,422135
Camp,64.98,12867
Carson,6.56,6057
Cass,32.38,30375
Castro,8.54,7669
Chambers,66.61,39899
Cherokee,49,51668
Childress,9.93,7052
Clay,9,10193
Cochran,3.72,2882
Coke,3.63,3264
Coleman,7,8420
Collin,1108,939585
Collingsworth,3.28,3016
Colorado,21.83,21019
Comal,239.84,134788
Comanche,14.38,13484
Concho,4.31,4279
Cooke,44.93,39266
Coryell,71,74686
Cottle,1.56,1402
Crane,6.15,4830
Crockett,1,3675
Crosby,6.66,5992
Culberson,1,2198
Dallam,5,7056
Dallas,2926.12,2574984
Dawson,14.54,13111
Deaf Smith,13,18830
Delta,18.83,5215
Denton,907.86,806180
De Witt,22.95,20865
Dickens,2.42,2184
Dimmit,8,10794
Donley,3.66,3405
Duval,6,11428
Eastland,19.73,18274
Ector,174.76,157462
Edwards,1,1911
El Paso,827,837918
Ellis,179.25,168499
Erath,38,41659
Falls,22.46,17273
Fannin,38.15,34031
Fayette,26.47,25149
Fisher,4.28,3854
Floyd,5.96,5917
Foard,1.67,1183
Fort Bend,847.13,741237
Franklin,37.09,10607
Freestone,22.17,19624
Frio,17,18956
Gaines,14,20478
Galveston,825.64,329431
Garza,7.19,6442
Gillespie,25,26521
Glasscock,1.46,1314
Goliad,8.8,7517
Gonzales,20,20876
Gray,24.49,22725
Grayson,137.3,128235
Gregg,451.62,123745
Grimes,34.85,27671
Guadalupe,218.38,155265
Hale,34,34263
Hall,3.48,3138
Hamilton,9.93,8304
Hansford,6.02,5538
Hardeman,5.62,3906
Hardin,63,56322
Harris,2654.67,4589928
Harrison,74.01,66534
Hartley,4,5747
Haskell,6.29,5681
Hays,301.58,204470
Hemphill,4.54,4129
Henderson,91.42,79901
Hidalgo,542,849843
Hill,36.46,35077
Hockley,25.63,23275
Hood,134.73,56857
Hopkins,46.37,36400
Houston,18,22754
Howard,40.65,36708
Hudspeth,1,4053
Hunt,109.48,92073
Hutchinson,24.25,21511
Irion,1,1557
Jack,9.54,8744
Jackson,17.91,14869
Jasper,38,35648
Jeff Davis,1,2200
Jefferson,281.72,254679
Jim Hogg,5,5146
Jim Wells,47.57,41149
Johnson,223.97,163274
Jones,21.49,20009
Karnes,20.34,15254
Kaufman,150.57,118350
Kendall,64.26,42540
Kenedy,0.28,404
Kent,0.85,769
Kerr,47,51504
Kimble,4,4423
King,0.32,289
Kinney,3,3590
Kleberg,36.38,31690
Knox,4.46,3806
La Salle,5,7613
Lamar,54.3,49791
Lamb,13,13275
Lampasas,29.16,20760
Lavaca,20.42,19809
Lee,27.11,17055
Leon,16,17299
Liberty,70,81704
Limestone,25.82,23468
Lipscomb,3.74,3487
Live Oak,12,12056
Llano,21.78,20362
Loving,0.17,113
Lubbock,336.82,303137
Lynn,6.4,5711
Madison,29.76,13987
Marion,26.63,10147
Martin,6.25,5723
Mason,4.41,4111
Matagorda,33,37187
Maverick,45,57685
McCulloch,8,8172
McLennan,238,247934
McMullen,0.72,804
Medina,37,49283
Menard,2.35,2123
Midland,180.63,162565
Milam,24,24871
Mills,6.56,4907
Mitchell,9.58,8720
Montague,20.85,19414
Montgomery,533,556203
Moore,24.58,22120
Morris,49.58,12593
Motley,1.17,1160
Nacogdoches,69.49,65806
Navarro,45,48523
Newton,15.01,14003
Nolan,16.44,14993
Nueces,432.24,361350
Ochiltree,11.23,10306
Oldham,1,2076
Orange,238.66,84964
Palo Pinto,29.44,28053
Panola,29.33,23492
Parker,143.19,129441
Parmer,11.08,9776
Pecos,3,15970
Polk,45,47916
Potter,132.93,120832
Presidio,2,6958
Rains,48.77,11314
Randall,144.97,132501
Reagan,3,3608
Real,4.84,3389
Red River,12,12207
Reeves,6,14921
Refugio,9.51,7321
Roberts,0.99,916
Robertson,19.59,16751
Rockwall,630.72,93978
Runnels,10,10448
Rusk,57.07,52732
Sabine,21.03,10303
San Augustine,15.76,8320
San Jacinto,48.52,27707
San Patricio,97.77,67655
San Saba,5,5944
Schleicher,2,3056
Scurry,19.19,17333
Shackelford,3.63,3315
Shelby,32.22,25579
Sherman,3.32,3068
Smith,242.77,225290
Somervell,46.93,8775
Starr,52,64122
Stephens,11.07,9906
Sterling,1.48,1367
Stonewall,1.55,1426
Sutton,3,3869
Swisher,8.3,7466
Tarrant,2334.34,2016872
Taylor,149.06,136535
Terrell,0.34,812
Terry,14.38,12799
Throckmorton,1.68,1533
Titus,79.3,32592
Tom Green,78,118386
Travis,1212.66,1199323
Trinity,20.84,14442
Tyler,23.1,21320
Upshur,69.68,40969
Upton,3,3673
Uvalde,18,27285
Val Verde,15,48881
Van Zandt,64.02,54355
Victoria,104.72,92467
Walker,90.72,71484
Waller,97.5,50115
Ward,13.88,11600
Washington,57.56,35056
Webb,81,271193
Wharton,38,41735
Wheeler,6.07,5546
Wichita,209.93,131838
Wilbarger,13.28,12892
Willacy,36.53,21810
Williamson,470,528718
Wilson,60.07,48480
Winkler,9.39,7893
Wise,71.22,64455
Wood,68.04,44227
Yoakum,10.61,8488
Young,19.69,18152
Zapata,14.39,14349
Zavala,9,12023