Citation,Vector_Species,Mosquito_Origin,Sample_Size,Temperature,Longevity_Days,Survival,Surviving_Count
Ciota et al 2014,Culex pipiens,Field,,16,78,,
Ciota et al 2014,Culex pipiens,Field,,16,87,,
Ciota et al 2014,Culex pipiens,Field,,20,69,,
Ciota et al 2014,Culex pipiens,Field,,20,112,,
Ciota et al 2014,Culex pipiens,Field,,24,32,,
Ciota et al 2014,Culex pipiens,Field,,24,44,,
Ciota et al 2014,Culex pipiens,Field,,28,20,,
Ciota et al 2014,Culex pipiens,Field,,28,35,,
Ciota et al 2014,Culex pipiens,Field,,32,24,,
Ciota et al 2014,Culex pipiens,Cultivar,,16,72,,
Ciota et al 2014,Culex pipiens,Cultivar,,20,27,,
Ciota et al 2014,Culex pipiens,Cultivar,,28,7,,
Ciota et al 2014,Culex pipiens,Cultivar,,32,4,,
Ciota et al 2014,Culex pipiens,Cultivar,,32,11,,
Ciota et al 2014,Culex quinquefasciatus,Field,,16,94,,
Ciota et al 2014,Culex quinquefasciatus,Field,,20,80,,
Ciota et al 2014,Culex quinquefasciatus,Field,,24,44,,
Ciota et al 2014,Culex quinquefasciatus,Cultivar,,16,57,,
Ciota et al 2014,Culex quinquefasciatus,Cultivar,,20,61,,
Ciota et al 2014,Culex quinquefasciatus,Cultivar,,24,29,,
Ciota et al 2014,Culex quinquefasciatus,Cultivar,,28,24,,
Ciota et al 2014,Culex quinquefasciatus,Cultivar,,32,8,,
Ciota et al 2014,Culex restuans,Field,,16,76,,
Ciota et al 2014,Culex restuans,Field,,20,44,,
Ciota et al 2014,Culex restuans,Field,,24,17,,
Ciota et al 2014,Culex restuans,Field,,28,11,,
Ciota et al 2014,Culex restuans,Field,,32,6,,
Andreadis et al 2014,Culex pipiens,Field,180,15,0,1,180
Andreadis et al 2014,Culex pipiens,Field,180,15,42,1,180
Andreadis et al 2014,Culex pipiens,Field,180,15,43,0.78,140
Andreadis et al 2014,Culex pipiens,Field,180,15,65,0.78,140
Andreadis et al 2014,Culex pipiens,Field,180,15,66,0.665,120
Andreadis et al 2014,Culex pipiens,Field,180,15,95,0.665,120
Andreadis et al 2014,Culex pipiens,Field,180,15,96,0.558,100
Andreadis et al 2014,Culex pipiens,Field,180,15,106,0.558,100
Andreadis et al 2014,Culex pipiens,Field,180,15,107,0.447,80
Andreadis et al 2014,Culex pipiens,Field,180,15,109,0.447,80
Andreadis et al 2014,Culex pipiens,Field,180,15,110,0.336,60
Andreadis et al 2014,Culex pipiens,Field,180,15,113,0.336,60
Andreadis et al 2014,Culex pipiens,Field,180,15,114,0.226,41
Andreadis et al 2014,Culex pipiens,Field,180,15,127,0.226,41
Andreadis et al 2014,Culex pipiens,Field,180,15,128,0.115,21
Andreadis et al 2014,Culex pipiens,Field,180,15,132,0.112,20
Andreadis et al 2014,Culex pipiens,Field,180,15,133,0,0
Andreadis et al 2014,Culex pipiens,Field,180,20,0,1,180
Andreadis et al 2014,Culex pipiens,Field,180,20,30,1,180
Andreadis et al 2014,Culex pipiens,Field,180,20,31,0.889,160
Andreadis et al 2014,Culex pipiens,Field,180,20,35,0.889,160
Andreadis et al 2014,Culex pipiens,Field,180,20,36,0.781,140
Andreadis et al 2014,Culex pipiens,Field,180,20,56,0.781,140
Andreadis et al 2014,Culex pipiens,Field,180,20,60,0.34,61
Andreadis et al 2014,Culex pipiens,Field,180,20,66,0.34,61
Andreadis et al 2014,Culex pipiens,Field,180,20,67,0.228,41
Andreadis et al 2014,Culex pipiens,Field,180,20,68,0.228,41
Andreadis et al 2014,Culex pipiens,Field,180,20,69,0.116,21
Andreadis et al 2014,Culex pipiens,Field,180,20,72,0.116,21
Andreadis et al 2014,Culex pipiens,Field,180,20,74,0,0
Andreadis et al 2014,Culex pipiens,Field,340,25,0,1,340
Andreadis et al 2014,Culex pipiens,Field,340,25,3,1,340
Andreadis et al 2014,Culex pipiens,Field,340,25,4,0.941,320
Andreadis et al 2014,Culex pipiens,Field,340,25,20,0.941,320
Andreadis et al 2014,Culex pipiens,Field,340,25,21,0.883,300
Andreadis et al 2014,Culex pipiens,Field,340,25,23,0.883,300
Andreadis et al 2014,Culex pipiens,Field,340,25,24,0.766,260
Andreadis et al 2014,Culex pipiens,Field,340,25,25,0.766,260
Andreadis et al 2014,Culex pipiens,Field,340,25,26,0.703,239
Andreadis et al 2014,Culex pipiens,Field,340,25,29,0.703,239
Andreadis et al 2014,Culex pipiens,Field,340,25,30,0.47,160
Andreadis et al 2014,Culex pipiens,Field,340,25,31,0.47,160
Andreadis et al 2014,Culex pipiens,Field,340,25,32,0.413,140
Andreadis et al 2014,Culex pipiens,Field,340,25,33,0.413,140
Andreadis et al 2014,Culex pipiens,Field,340,25,37,0.119,41
Andreadis et al 2014,Culex pipiens,Field,340,25,42,0.119,41
Andreadis et al 2014,Culex pipiens,Field,340,25,43,0.059,20
Andreadis et al 2014,Culex pipiens,Field,340,25,44,0.059,20
Andreadis et al 2014,Culex pipiens,Field,340,25,45,0,0
Andreadis et al 2014,Culex pipiens,Field,280,27.5,0,1,280
Andreadis et al 2014,Culex pipiens,Field,280,27.5,2,1,280
Andreadis et al 2014,Culex pipiens,Field,280,27.5,3,0.775,217
Andreadis et al 2014,Culex pipiens,Field,280,27.5,4,0.715,200
Andreadis et al 2014,Culex pipiens,Field,280,27.5,5,0.64,179
Andreadis et al 2014,Culex pipiens,Field,280,27.5,19,0.64,179
Andreadis et al 2014,Culex pipiens,Field,280,27.5,20,0.572,160
Andreadis et al 2014,Culex pipiens,Field,280,27.5,30,0.566,158
Andreadis et al 2014,Culex pipiens,Field,280,27.5,31,0.289,81
Andreadis et al 2014,Culex pipiens,Field,280,27.5,32,0.289,81
Andreadis et al 2014,Culex pipiens,Field,280,27.5,33,0.196,55
Andreadis et al 2014,Culex pipiens,Field,280,27.5,34,0.157,44
Andreadis et al 2014,Culex pipiens,Field,280,27.5,35,0.14,39
Andreadis et al 2014,Culex pipiens,Field,280,27.5,41,0.135,38
Andreadis et al 2014,Culex pipiens,Field,280,27.5,44,0.071,20
Andreadis et al 2014,Culex pipiens,Field,280,27.5,53,0.071,20
Andreadis et al 2014,Culex pipiens,Field,280,27.5,54,0,0
Andreadis et al 2014,Culex pipiens,Field,320,30,0,1,320
Andreadis et al 2014,Culex pipiens,Field,320,30,3,1,320
Andreadis et al 2014,Culex pipiens,Field,320,30,4,0.938,300
Andreadis et al 2014,Culex pipiens,Field,320,30,6,0.874,280
Andreadis et al 2014,Culex pipiens,Field,320,30,7,0.874,280
Andreadis et al 2014,Culex pipiens,Field,320,30,8,0.819,262
Andreadis et al 2014,Culex pipiens,Field,320,30,9,0.69,220
Andreadis et al 2014,Culex pipiens,Field,320,30,10,0.689,220
Andreadis et al 2014,Culex pipiens,Field,320,30,12,0.485,155
Andreadis et al 2014,Culex pipiens,Field,320,30,13,0.431,138
Andreadis et al 2014,Culex pipiens,Field,320,30,14,0.304,97
Andreadis et al 2014,Culex pipiens,Field,320,30,15,0.253,81
Andreadis et al 2014,Culex pipiens,Field,320,30,16,0.171,55
Andreadis et al 2014,Culex pipiens,Field,320,30,17,0.123,40
Andreadis et al 2014,Culex pipiens,Field,320,30,18,0,0